id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
07-Mar-2021_LIGHT 7,departure,0.75,01,01,07,1014.2926315579359,486.09383801509057,0,859.8552382172359,87.6834748021,0,926.6091567558359,,-1,0,1,0,1,0,0,0,1,0,0
09-Mar-2021_LIGHT 7,departure,0.0,04,04,09,1859.9378098577265,455.68041965429796,0,57.6662781181,83.4322277087,0,1776.5055821490264,,-1,0,1,0,0,0,0,0,1,0,0
10-Mar-2021_LIGHT 7,arrival,80.01666666666667,17,16,10,849.1990208987359,437.0256240196108,0,452.5412957490722,111.624949329,0,737.5740715697359,,-1,0,3,0,0,3,3,0,0,1,1
12-Mar-2021_LIGHT 7,arrival,2.566666666666667,20,20,12,784.2136164380778,378.46939491638204,0,575.9419575643778,186.5342337926,0,597.6793826454777,,-1,0,1,0,0,0,0,0,0,0,1
20-Mar-2021_LIGHT 7,arrival,-1166.9333333333334,03,22,20,3119.082205619642,399.10052233725537,0,1477.4455825554617,0,910.2111835069642,2208.871022112678,23R/05L,1,0,0,0,0,0,0,0,0,0,0
19-Mar-2021_LIGHT 7,departure,66.03333333333333,22,23,19,1916.2319450842808,281.3394945653274,0,1775.044204708678,0,1314.2736708799266,601.9582742043542,23R/05L,1,0,0,1,0,0,0,0,0,0,0
24-Mar-2021_LIGHT 7,arrival,0.45,20,20,24,291.4238679636,95.7573282023597,0,177.2760024705,68.2615785447,0,223.1622894189,,-1,0,1,0,0,0,0,0,0,1,0
25-Mar-2021_LIGHT 7,arrival,705.9,23,12,25,1949.0280507358598,555.6230845998188,0,781.6753254678079,190.43745685419998,0,1758.5905938816597,,-1,0,3,0,0,18,18,0,0,2,1
28-Mar-2021_LIGHT 7,arrival,100.95,01,00,28,1994.7270818045188,328.9223073303081,0,633.0636613480723,214.27520077399998,0,1780.4518810305187,,-1,0,0,0,0,0,0,0,0,0,0
27-Mar-2021_LIGHT 7,arrival,1.3833333333333333,23,23,27,1224.6631263499944,217.6952849441534,0,1038.02779773808,0,709.7835036448447,514.8796227051497,23R/05L,1,0,0,0,0,0,0,0,0,0,0
31-Mar-2021_LIGHT 7,arrival,0.4666666666666667,21,21,31,365.21175601945,136.1667269726368,0,158.08411204304997,207.1276439764,0,158.08411204304997,,-1,0,0,0,0,0,0,0,0,0,0
12-Mar-2021_4258CF,arrival,0.18333333333333332,20,20,12,298.8494843725,180.42612292515892,0,82.4907943365,216.35869003599998,0,82.49079433650002,,-1,0,1,0,0,0,0,0,0,0,1
01-Mar-2021_4258CFx1,arrival,0.8666666666666667,20,20,01,359.85777546726825,123.77505238763132,0,173.69600099241146,88.9090138822,0,270.94876158506827,,-1,0,1,0,0,0,0,0,0,0,1
08-Mar-2021_4258CFx1,departure,0.21666666666666667,23,23,08,255.70933195344998,21.82667128904572,0,21.7374250811,97.6252199104,0,158.08411204304997,,-1,0,0,0,0,0,0,0,0,0,0
09-Mar-2021_4258CFx2,arrival,0.23333333333333334,16,16,09,392.8430292397778,186.62080735923968,0,180.8918717593778,211.9511574804,0,180.8918717593778,,-1,0,4,0,0,0,0,0,0,1,3
